sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
/qinweb/,4800,3,1,159,7.2345513567417115,0.0,10.694091069097196,7.913522956648828,757.75
/qinweb/login.html,4800,24,9,187,16.909491385459543,0.0,10.656081625585252,8.786090192075871,844.3025
/qinweb/home.html,4800,5,1,173,9.276093488999917,0.0,10.581987253114521,8.724998332785862,844.3025
/qinweb/consultar.html,4800,4,1,148,7.645624929039847,0.0,10.542707850583474,8.535063289193065,829.0
/qinweb/iniciar_busqueda.html,4800,5,1,159,9.148864795149754,0.0,10.513312481930244,10.307974347517543,1004.0
/qinweb/buscar.html,4800,7,2,168,10.183498489863666,0.0,10.42227587764248,12.59019068422241,1237.0
/qinweb/alta_resolucion.html,4800,64,28,391,32.90362754401945,0.0,10.50109933383651,13.475043481114428,1314.0
/qinweb/sincronizar.html,48000,6,1,226,9.351546719006457,0.0,93.04471380027564,28.349561236021486,312.0
/qinweb/guardar_resolucion.html,4800,66,29,395,33.895450263534,0.0,9.876644821448782,12.651557629193716,1311.7
Total,86400,13,1,395,23.755248769514264,0.0,154.84509218121894,94.61121661376724,625.6697222222223
