sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
/qinweb/,1200,4,1,627,25.30753461586753,0.0,4.783201396694808,3.5395223226030184,757.75
/qinweb/login.html,1200,16,9,102,8.313627993641923,0.0,4.675300388049932,3.855311750003896,844.4033333333333
/qinweb/home.html,1200,7,3,78,5.647416075811427,0.0,4.736773546698666,3.906003293044443,844.4033333333333
/qinweb/consultar.html,1200,7,3,76,6.216981895493093,0.0,4.649198594392292,3.763853158936729,829.0
/qinweb/iniciar_busqueda.html,1200,7,4,83,5.5170115073490855,0.0,4.583178969319436,4.493663755074916,1004.0
/qinweb/buscar.html,1200,10,5,73,7.405281711199259,0.0,4.561280807650788,5.510062850648462,1237.0
/qinweb/alta_resolucion.html,1200,35,19,159,16.384901056731746,0.0,4.525415866862264,5.8096793931417325,1314.6
/qinweb/guardar_resolucion.html,1200,37,20,172,17.069401148123376,0.0,4.519808058817769,5.790121300348779,1311.8
Total,9600,15,1,627,18.284533819205702,0.0,31.44684991008166,31.258585952266305,1017.8695833333334
