sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
/qinweb/,5600,5,0,485,17.47661411190184,0.0,12.188353592843695,9.019203118368502,757.745
/qinweb/login.html,5600,41,9,591,48.002899539071215,0.0,11.895961321131475,9.808898882735562,844.3464285714285
/qinweb/home.html,5600,9,1,496,24.18817700892951,0.0,11.836820968082858,9.760134287148594,844.3464285714285
/qinweb/consultar.html,5600,7,1,367,18.529659498286765,0.0,11.664163731532609,9.432652016858881,828.095
/qinweb/iniciar_busqueda.html,5600,8,1,438,21.0804522075366,0.0,11.573141219189095,11.347046795273197,1003.995
/qinweb/buscar.html,5600,12,2,494,26.437187010257087,0.0,11.697787655909575,14.13096175920104,1236.995
/qinweb/alta_resolucion.html,5600,111,26,925,99.36282039323726,0.0,11.648902090977925,14.938636222989107,1313.185
/qinweb/sincronizar.html,56000,10,1,1285,24.08809900973388,0.0,101.54935298555098,30.940322641334937,311.995
/qinweb/guardar_resolucion.html,5600,117,25,1079,108.33811330925126,0.0,10.82182065537719,13.863079873249427,1311.775
Total,100800,23,0,1285,53.70264028913637,0.0,171.57388400379915,104.81750221701374,625.5796031746032
