sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
/qinweb/,3400,11,0,1568,86.64430398559843,0.0,7.4946490410155695,5.780174882951217,789.75
/qinweb/login.html,3400,34,12,1479,85.3113322668729,0.0,7.4699171058904685,6.3930097779017885,876.3741176470588
/qinweb/home.html,3400,16,3,1403,82.40215410015699,0.0,7.412074268984176,6.343505905679175,876.3741176470588
/qinweb/consultar.html,3400,16,3,1820,86.05662225834553,0.0,7.350763290288128,6.174210455055488,860.1
/qinweb/iniciar_busqueda.html,3400,15,3,1470,69.78762377699535,0.0,7.287317495563309,7.372715747464442,1036.0
/qinweb/buscar.html,3400,25,4,1779,109.95974157763408,0.0,7.271296343821109,9.010952323286112,1268.9917647058824
/qinweb/alta_resolucion.html,3400,83,30,1885,125.01525429413952,0.0,7.292178280890417,9.575734298224354,1344.6670588235295
/qinweb/sincronizar.html,34000,30,3,2421,123.43954973544449,0.0,64.97638872697877,21.827744308832774,343.9958823529412
/qinweb/guardar_resolucion.html,3400,72,33,1917,94.25281595015012,0.0,7.082993939873715,9.282595573545434,1342.0
Total,61200,32,0,2421,112.62472873932397,0.0,108.71920954739412,69.8028752356027,657.4564379084967
