sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
/qinweb/,100,5,3,14,1.7360587547660926,0.0,1.308797738397508,1.0774575131534172,843.0
/qinweb/login.html,1100,15,11,69,5.120993818190994,0.0,1.718825198602439,1.536627286037514,915.4545454545455
/qinweb/home.html,100,6,3,34,3.346206807715268,0.0,1.1775788977861517,1.0080259361752237,876.56
/qinweb/consultar.html,100,6,2,98,9.352063943322886,0.0,1.1563634681653137,0.9712775575869008,860.1
/qinweb/iniciar_busqueda.html,1000,6,3,56,4.21094276854958,0.0,1.8973819923269872,1.919616937549569,1036.0
/qinweb/buscar.html,1000,17,4,99,11.12939153772568,0.0,1.9008226760541962,5.198640498951697,2800.581
/qinweb/alta_resolucion.html,1000,39,26,204,13.688505981296862,0.0,1.9058727563112978,2.51536118551956,1351.47
/qinweb/sincronizar.html,1400,15,4,76,7.9147201724485035,0.0,2.6322122615967753,0.8844424151863607,344.07142857142856
/qinweb/guardar_resolucion.html,1200,41,28,181,13.76902471733807,0.0,2.2609940837321476,2.9692107364246145,1344.75
/qinweb/estadistica_tp.html,200,6,3,50,3.9786147086643107,0.0,0.37453744625387647,0.4027009065678887,1101.0
/qinweb/ver_estadistica.html,200,6,3,57,4.76252034116391,0.0,0.37435096900748327,0.42260714860610415,1156.0
/qinweb/actualizar_estadistica.html,400,11,8,25,2.7627160548996,0.0,0.7303628259928826,0.32238671616092085,452.0
/qinweb/Charts/Column3D.swf,200,4,0,27,3.8410643056319693,0.0,0.3703504811778627,21.79642783072761,60266.0
/qinweb/alta_tp.html,200,8,4,35,3.627175209443294,0.0,0.3734897010214943,0.55914034342378,1533.0
/qinweb/guardar_tp.html,200,44,25,340,35.991065210688056,0.0,0.37426480357647446,0.5766346073775078,1577.69
/qinweb/buscar_resoluciones.html,300,30,15,95,12.607113952932382,0.0,0.763831071120311,2.019470392157237,2707.3233333333333
/qinweb/evaluar_resolucion.html,300,25,18,99,8.966929364181594,0.0,0.7545366516178523,0.7926319102981677,1075.7
Total,9000,20,0,340,17.006602372223373,0.0,13.774947961307701,34.36392443962746,2554.5402222222224
