sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
/qinweb/,100,5,2,236,23.191677386510875,0.0,1.3535829340263679,1.0720271088822113,811.0
/qinweb/login.html,1100,12,9,424,12.790190552926303,0.0,1.7281875240571558,1.4905494654401772,883.1927272727273
/qinweb/home.html,100,4,3,10,1.1608186766243915,0.0,1.2090290287869812,0.9968113748473602,844.26
/qinweb/consultar.html,100,4,2,90,8.644443301913663,0.0,1.2103167398908294,0.9798365013374,829.0
/qinweb/iniciar_busqueda.html,1000,3,2,186,5.962085541150849,0.0,1.9064359370799884,1.8692008601838948,1004.0
/qinweb/buscar.html,1000,18,11,222,8.739422807027935,0.0,1.9024101634360573,5.133152213977388,2762.994
/qinweb/alta_resolucion.html,1000,38,24,729,43.20674529515039,0.0,1.9020772585740888,2.4528809397117595,1320.53
/qinweb/sincronizar.html,1400,6,3,194,6.428650634432691,0.0,2.579052566617849,0.7859849793215249,312.07142857142856
/qinweb/guardar_resolucion.html,1200,37,26,1084,35.33796155812236,0.0,2.2470689793999954,2.882239014641527,1313.45
/qinweb/estadistica_tp.html,200,3,2,32,3.319804211094383,0.0,0.3746251407185685,0.39108815959780246,1069.0
/qinweb/ver_estadistica.html,200,3,2,45,3.240308627276112,0.0,0.37306959799885464,0.40950217592843036,1124.0
/qinweb/actualizar_estadistica.html,400,10,8,73,4.987223676555926,0.0,0.7324156165657765,0.3004048427320567,420.0
/qinweb/Charts/Column3D.swf,200,6,6,50,3.128414134989165,0.0,0.3720058181709962,21.88222505049979,60234.0
/qinweb/alta_tp.html,200,5,3,157,10.812214158071416,0.0,0.36717661378711464,0.5382149387641202,1501.0
/qinweb/guardar_tp.html,200,56,22,870,93.6299843800051,0.0,0.3684510135166254,0.556173926379803,1545.72
/qinweb/buscar_resoluciones.html,300,23,15,173,10.886021107620342,0.0,0.7661798019680605,2.0057799087862946,2680.7266666666665
/qinweb/evaluar_resolucion.html,300,21,16,63,5.629378296046551,0.0,0.7633665482600333,0.7788724312715651,1044.8
Total,9000,18,2,1084,28.70571493816364,0.0,13.787503925608755,33.9614586604674,2522.3226666666665
