sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
/qinweb/,4000,3,0,106,6.503982453082112,0.0,16.25058400536269,12.025273466858964,757.75
/qinweb/login.html,4000,27,7,243,22.86210149871398,0.0,16.012361543111282,13.205210047156406,844.481
/qinweb/home.html,4000,9,2,163,13.362114765260776,0.0,15.855775862752404,13.076075640969739,844.481
/qinweb/consultar.html,4000,9,2,180,13.510288466109818,0.0,15.618715907271683,12.630721330870783,828.1
/qinweb/iniciar_busqueda.html,4000,9,2,194,13.544022609162317,0.0,15.464017165059053,15.161985579803993,1004.0
/qinweb/buscar.html,4000,12,3,183,15.550394639284882,0.0,15.509045650875873,18.735048310677204,1237.0
/qinweb/alta_resolucion.html,4000,63,16,527,44.857641166249486,0.0,15.35720867375146,19.6974197969777,1313.4
/qinweb/guardar_resolucion.html,4000,65,17,582,47.00990511583703,0.0,15.025280033656628,19.246738105612692,1311.7
Total,32000,25,0,582,35.46395825732576,0.0,107.82361404537352,107.15119060856321,1017.614
