sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
/qinweb/,4000,5,0,305,13.05535803559213,0.0,15.81271421286285,11.701254096481275,757.75
/qinweb/login.html,4000,50,7,1105,59.241385331012474,0.0,15.781769688744049,13.013394530433171,844.374
/qinweb/home.html,4000,18,2,444,32.06365917105376,0.0,15.312939050674345,12.627013651485164,844.388
/qinweb/consultar.html,4000,17,2,461,31.252368501243232,0.0,15.093029661576542,12.205293856570938,828.079
/qinweb/iniciar_busqueda.html,4000,19,2,475,37.853237480432234,0.0,14.638395046367117,14.35238882596412,1003.993
/qinweb/buscar.html,4000,24,3,414,39.01044539527202,0.0,14.816351325322627,17.89796430277955,1236.979
/qinweb/alta_resolucion.html,4000,118,16,1829,115.75830285448211,0.0,14.976337386928654,19.21111616302492,1313.551
/qinweb/guardar_resolucion.html,4000,123,17,1899,123.83088031565471,0.0,14.751655873371785,18.88380500984673,1310.837
Total,32000,47,0,1899,81.39609472390988,0.0,106.06281570259986,105.38893099868083,1017.493875
