sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
/qinweb/,3400,2,0,116,4.989235601353493,0.0,7.544088540973276,5.582551847580566,757.75
/qinweb/login.html,3400,16,9,137,8.561174853890833,0.0,7.48636490744431,6.173085857596129,844.3670588235294
/qinweb/home.html,3400,3,1,124,4.860798452075081,0.0,7.520293733825839,6.201062794452677,844.3670588235294
/qinweb/consultar.html,3400,2,1,121,4.373636970076593,0.0,7.453410702659333,6.027509182492377,828.1
/qinweb/iniciar_busqueda.html,3400,3,1,110,4.434368359852963,0.0,7.404842331305713,7.260216504522399,1004.0
/qinweb/buscar.html,3400,5,2,97,5.705942995432747,0.0,7.419676545747762,8.96302723348631,1237.0
/qinweb/alta_resolucion.html,3400,43,27,206,13.92164451753687,0.0,7.406294042943435,9.499440035158113,1313.4
/qinweb/sincronizar.html,34000,4,1,161,5.174382077345365,0.0,65.77445552292627,20.040654417141596,312.0
/qinweb/guardar_resolucion.html,3400,46,28,162,14.116085992123459,0.0,6.778606717200516,8.677808149978668,1310.9
Total,61200,9,0,206,14.73368149085579,0.0,109.71694104865732,67.02474185929879,625.5491176470588
