sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
/qinweb/,450,12,3,1128,54.93397985955393,0.0,5.50694486936303,4.361457313528728,811.0
/qinweb/login.html,4950,39,11,936,52.238841399871596,0.0,7.23444120153107,6.24068034758567,883.3379797979798
/qinweb/home.html,450,11,4,91,9.050366611495312,0.0,4.795856380087604,3.954666501476058,844.3911111111111
/qinweb/consultar.html,450,10,4,140,11.965053847778828,0.0,4.745934316269063,3.8379962961937606,828.1
/qinweb/iniciar_busqueda.html,4500,26,3,1133,54.86365774747523,0.0,8.085367102617683,7.927351516725031,1003.9875555555556
/qinweb/buscar.html,4500,126,5,1963,179.67305770519908,0.0,7.9907662256947525,56.55192367985883,7247.010888888889
/qinweb/alta_resolucion.html,4500,116,29,1145,106.73082811134435,0.0,8.021261690988915,10.342779845109437,1320.3666666666666
/qinweb/sincronizar.html,6300,42,5,731,52.65640356076021,0.0,10.925872292161293,3.3296439997450626,312.0625396825397
/qinweb/guardar_resolucion.html,5400,113,30,1161,102.29809159727489,0.0,9.296320206584893,11.914371839358726,1312.3812962962963
/qinweb/estadistica_tp.html,900,10,3,217,14.269150484718967,0.0,1.55220853404252,1.6204208231361856,1069.0
/qinweb/ver_estadistica.html,900,8,3,85,7.930864461779126,0.0,1.5409982586719677,1.691486369870402,1124.0
/qinweb/actualizar_estadistica.html,1800,16,7,123,11.159631269075534,0.0,2.995068121160489,1.2284459090697317,420.0
/qinweb/Charts/Column3D.swf,900,5,0,56,5.726663971887437,0.0,1.5186310722041578,89.32932031557154,60234.0
/qinweb/alta_tp.html,900,12,5,357,17.135771407450413,0.0,1.48751725106812,2.1804330018098126,1501.0
/qinweb/guardar_tp.html,900,57,25,564,47.798314500992625,0.0,1.4876426484006189,2.2474138391469856,1546.9788888888888
/qinweb/buscar_resoluciones.html,1350,86,19,888,86.45746362971765,0.0,2.9413879429240013,7.8484651912610275,2732.325185185185
/qinweb/evaluar_resolucion.html,1350,71,19,1118,85.64758006137927,0.0,2.9352548018594296,2.991664606779134,1043.6792592592592
Total,40500,64,0,1963,99.00264280495185,0.0,57.65305105640319,170.1498695177109,3022.1031358024693
