sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
/qinweb/,1800,8,1,1341,63.15952600849126,0.0,0.69602930747404,0.5083521341805299,747.8888888888889
/qinweb/login.html,1800,31,9,1215,71.85202842570897,0.0,0.6964895764530804,0.5346112967852362,786.0016666666667
/qinweb/home.html,600,17,4,862,62.879938418827635,0.0,0.33145179199411345,0.2733117813710835,844.38
/qinweb/consultar.html,600,24,4,1172,99.00205989720057,0.0,0.33074069378372867,0.26746715676006416,828.1
/qinweb/iniciar_busqueda.html,12000,72,12,23708,440.9558252733408,0.0,4.785540012298838,4.691876152019059,1003.958
/qinweb/buscar.html,12000,193,20,20327,525.0211722746416,0.0,4.785977087134696,43.831744862552725,9378.17
/qinweb/alta_resolucion.html,12000,147,36,16415,375.1006162713675,0.0,4.781905270456592,6.168521984684952,1320.9309166666667
/qinweb/sincronizar.html,17400,104,5,19767,677.1547179720959,0.0,6.87152499280267,2.096366230092817,312.4021264367816
/qinweb/guardar_resolucion.html,13800,192,48,23704,429.60614832973897,0.0,5.484401844507669,7.03101465259295,1312.7701449275362
/qinweb/buscar_resoluciones.html,600,47,23,543,32.77268154355935,0.0,0.30812605436884233,0.7477332674713891,2484.9533333333334
/qinweb/evaluar_resolucion.html,600,52,24,522,40.21795397856811,0.0,0.30825633775030414,0.35822758000279487,1190.0
/qinweb/estadistica_tp.html,600,26,12,339,28.118093769354672,0.0,0.3071190188571078,0.32061546011547676,1069.0
/qinweb/ver_estadistica.html,600,25,12,372,25.11699242212995,0.0,0.3072586790334871,0.3372644094078511,1124.0
/qinweb/actualizar_estadistica.html,3000,32,16,900,33.248070894748494,0.0,1.5228318174388609,0.6245989876214078,420.0
/qinweb/Charts/Column3D.swf,600,9,6,47,4.630131987559559,0.0,0.3084141549760568,18.14161934651153,60234.0
/qinweb/alta_tp.html,1200,31,13,1000,50.52552209170024,0.0,0.6140789889803526,0.9001294555268644,1501.0
/qinweb/guardar_tp.html,1200,97,42,2952,148.889875178118,0.0,0.6153199279050151,0.9568325028650835,1592.3366666666666
Total,80400,123,1,23708,475.7573779891079,0.0,30.156566592375487,77.7951621866052,2641.6218781094526
